Feature,Importance
mean_duration_comprehension,0.07097205
swta_f_22,0.030647697
gap_before_mean_comprehension,0.021592258
comp_prod_f_13,0.016672589
comp_prod_f_38,0.01663964
swta_f_33,0.016513977
duration_comprehension,0.015598644
swta_f_35,0.014550995
swta_f_60,0.01332439
swta_f_24,0.013233779
swta_f_25,0.012602792
count_comprehension,0.011798269
max_duration_comprehension,0.011702768
swta_f_55,0.011441691
max_duration_production,0.01101051
median_duration_gap_c2p,0.010110532
swta_f_47,0.009867545
min_duration_gap_p2c,0.009792873
duration_pause_p,0.009088943
median_duration_comprehension,0.008647202
comp_prod_f_47,0.008414641
comp_prod_f_24,0.008127187
duration_production,0.008105253
comp_prod_f_11,0.008005891
comp_prod_f_60,0.007889343
comp_prod_f_59,0.0074902102
comp_prod_f_22,0.00706022
swta_f_44,0.0069681844
swta_f_59,0.0069012726
gap_before_std_comprehension,0.0067985607
median_duration_production,0.006668987
std_duration_production,0.006648776
min_duration_comprehension,0.0065296665
comp_prod_f_16,0.006521073
comp_prod_f_46,0.0064458735
median_duration_gap_p2c,0.0063770097
std_duration_comprehension,0.0063577923
std_duration_pause_p,0.006340369
count_gap_c2p,0.0062709292
mean_duration_pause_c,0.0062562367
gap_before_std_gap_c2p,0.006253861
max_duration_pause_p,0.006229675
comp_prod_f_25,0.006137127
comp_prod_f_55,0.0059315143
swta_f_2,0.0057180184
swta_f_16,0.0057145515
gap_before_mean_gap_c2p,0.0054933913
max_duration_pause_c,0.005486895
comp_prod_f_44,0.0054673804
comp_prod_f_3,0.0054634046
count_pause_c,0.005408987
swta_f_3,0.005401938
swta_f_32,0.005387922
swta_f_0,0.005354726
gap_before_mean_pause_p,0.005084885
comp_prod_f_0,0.004975151
min_duration_production,0.0049272114
std_duration_gap_p2c,0.004889956
swta_f_46,0.0048672687
min_duration_pause_p,0.0048632137
duration_pause_c,0.0048310217
swta_f_54,0.0046698814
comp_prod_f_62,0.004619163
swta_f_38,0.0046144743
swta_f_11,0.0045998525
mean_duration_gap_p2c,0.004539064
swta_f_10,0.004514944
duration_gap_c2p,0.004430022
gap_before_mean_pause_c,0.0043804357
swta_f_57,0.004373977
mean_duration_pause_p,0.0042864033
gap_before_std_pause_p,0.0042813816
