Feature,Importance
mean_duration_comprehension,0.060567193
swta_f_22,0.030045493
comp_prod_f_13,0.022882711
swta_f_33,0.021393897
gap_before_mean_comprehension,0.018479303
comp_prod_f_38,0.016319294
duration_comprehension,0.015862374
swta_f_35,0.014172182
max_duration_production,0.012948892
median_duration_comprehension,0.012608805
swta_f_25,0.012477774
swta_f_24,0.011189605
comp_prod_f_24,0.009949556
duration_pause_p,0.0098595
swta_f_60,0.009782511
std_duration_comprehension,0.00976974
duration_production,0.009572061
median_duration_gap_c2p,0.00951205
min_duration_gap_p2c,0.009353463
swta_f_47,0.009166378
max_duration_comprehension,0.009120543
comp_prod_f_16,0.008544114
comp_prod_f_25,0.008089349
swta_f_44,0.008062799
comp_prod_f_47,0.007914272
swta_f_55,0.007783741
comp_prod_f_22,0.007699541
median_duration_production,0.0076908944
gap_before_std_comprehension,0.007052754
comp_prod_f_60,0.0070081353
count_gap_c2p,0.006651275
mean_duration_pause_c,0.0065477923
median_duration_gap_p2c,0.006508152
comp_prod_f_55,0.0064311125
comp_prod_f_44,0.0062904893
comp_prod_f_59,0.0062354193
swta_f_16,0.00620026
comp_prod_f_46,0.006178901
swta_f_13,0.006092002
comp_prod_f_11,0.0060532936
min_duration_production,0.0060171457
median_duration_pause_c,0.0060152025
mean_duration_gap_p2c,0.005798539
swta_f_0,0.005669934
comp_prod_f_3,0.0056220554
min_duration_comprehension,0.0056103696
max_duration_pause_p,0.005572223
swta_f_10,0.0055636573
comp_prod_f_0,0.005541079
swta_f_2,0.0054903817
mean_duration_pause_p,0.0054664807
comp_prod_f_33,0.0053596953
swta_f_59,0.0053305863
swta_f_3,0.0053086397
gap_before_mean_pause_c,0.005131241
std_duration_pause_p,0.0050736037
std_duration_gap_p2c,0.0050329347
std_duration_production,0.0050244816
std_duration_pause_c,0.0049890038
comp_prod_f_2,0.0049642352
count_comprehension,0.0048799547
max_duration_pause_c,0.0048600347
gap_before_mean_gap_c2p,0.004851664
count_pause_c,0.0047763814
swta_f_38,0.004715856
min_duration_gap_c2p,0.004685028
swta_f_11,0.0045682667
swta_f_57,0.004556972
swta_f_32,0.0045303013
swta_f_42,0.004497222
std_duration_gap_c2p,0.0044733724
swta_f_46,0.0044525973
duration_pause_c,0.004444393
max_duration_gap_p2c,0.0044199084
swta_f_54,0.004413745
median_duration_pause_p,0.0044128443
comp_prod_f_32,0.004364514
max_duration_gap_c2p,0.0043557803
swta_f_4,0.004312892
mean_duration_production,0.0042809434
gap_before_mean_pause_p,0.00422562
comp_prod_f_35,0.0041902456
comp_prod_f_36,0.0041607316
duration_gap_c2p,0.0041437573
comp_prod_f_53,0.004116834
gap_before_std_pause_p,0.0041026818
swta_f_31,0.0040981136
comp_prod_f_21,0.004072475
comp_prod_f_19,0.0039904024
comp_prod_f_50,0.003943217
swta_f_41,0.0039334125
swta_f_36,0.003921247
min_duration_pause_c,0.0039108586
swta_f_26,0.0038995035
comp_prod_f_41,0.0038561658
comp_prod_f_4,0.0038534414
gap_before_mean_production,0.0038385612
comp_prod_f_15,0.0038379997
comp_prod_f_18,0.0038083158
swta_f_20,0.0037889192
comp_prod_f_14,0.0037776313
swta_f_19,0.00377388
comp_prod_f_65,0.0037694029
swta_f_37,0.0037675872
mean_duration_gap_c2p,0.0037333001
count_pause_p,0.0037237993
swta_f_27,0.0037169573
duration_gap_p2c,0.0037039241
swta_f_58,0.0036738608
swta_f_1,0.0036731404
min_duration_pause_p,0.003664102
gap_before_std_production,0.00365502
comp_prod_f_57,0.0036154985
comp_prod_f_37,0.0036039166
comp_prod_f_8,0.0036025676
comp_prod_f_20,0.0035958341
swta_f_48,0.003589053
swta_f_15,0.0035828957
comp_prod_f_1,0.0035600867
swta_f_52,0.003555278
comp_prod_f_7,0.0035443285
comp_prod_f_42,0.0035252857
comp_prod_f_51,0.0035243528
comp_prod_f_29,0.00348302
swta_f_51,0.0034721212
swta_f_49,0.0034515418
swta_f_63,0.0034487066
comp_prod_f_64,0.0034485564
swta_f_30,0.0034412518
comp_prod_f_56,0.003431518
comp_prod_f_52,0.0034268606
swta_f_50,0.0034013288
swta_f_12,0.003379094
gap_before_mean_gap_p2c,0.0033727863
comp_prod_f_54,0.0033323804
swta_f_43,0.003330346
comp_prod_f_30,0.0033216954
