Feature,Importance
mean_duration_comprehension,0.07018133
swta_f_22,0.054445766
comp_prod_f_13,0.02222952
swta_f_33,0.022070551
max_duration_comprehension,0.017179307
gap_before_mean_comprehension,0.0143577885
swta_f_60,0.013371116
swta_f_25,0.013331344
duration_comprehension,0.0130176265
swta_f_47,0.011728946
std_duration_comprehension,0.011278211
comp_prod_f_22,0.011070421
duration_production,0.010439403
comp_prod_f_38,0.010400552
comp_prod_f_16,0.010391064
median_duration_gap_c2p,0.009800595
duration_pause_p,0.009784509
swta_f_24,0.009185122
comp_prod_f_11,0.009184525
min_duration_gap_p2c,0.008563256
max_duration_production,0.008490794
comp_prod_f_47,0.008335911
swta_f_55,0.007614513
comp_prod_f_25,0.007600745
gap_before_mean_pause_p,0.0073699444
comp_prod_f_55,0.0073595843
count_comprehension,0.0072109117
comp_prod_f_24,0.00694353
swta_f_16,0.006774258
swta_f_35,0.0067589884
swta_f_44,0.00651719
comp_prod_f_44,0.0065079955
max_duration_pause_p,0.00643666
comp_prod_f_60,0.006423724
median_duration_gap_p2c,0.006317519
swta_f_38,0.006316702
gap_before_std_comprehension,0.0063104993
min_duration_comprehension,0.0062114694
comp_prod_f_3,0.0058516725
comp_prod_f_0,0.0058407276
std_duration_pause_p,0.005829208
swta_f_0,0.005536277
median_duration_production,0.0055088988
swta_f_3,0.0055050724
count_gap_c2p,0.0054939827
std_duration_production,0.0053863716
min_duration_pause_c,0.005356966
max_duration_pause_c,0.0053391685
swta_f_59,0.0052513788
swta_f_10,0.0052250437
median_duration_comprehension,0.0051383525
gap_before_mean_gap_c2p,0.0050799944
comp_prod_f_46,0.0050563132
count_gap_p2c,0.0049806377
comp_prod_f_41,0.0049541676
comp_prod_f_59,0.0049409214
std_duration_gap_p2c,0.004940234
mean_duration_pause_c,0.0049194046
swta_f_42,0.004905116
mean_duration_gap_p2c,0.004813564
swta_f_2,0.0047828136
max_duration_gap_p2c,0.0047669867
comp_prod_f_35,0.0046983943
min_duration_production,0.004672336
mean_duration_production,0.0046689715
gap_before_mean_pause_c,0.0045821783
median_duration_pause_c,0.004571601
swta_f_32,0.004501367
count_pause_p,0.004488579
duration_pause_c,0.004488331
swta_f_11,0.004472056
swta_f_41,0.0044703376
swta_f_48,0.0044021485
duration_gap_c2p,0.0043964377
comp_prod_f_26,0.0043665124
comp_prod_f_33,0.004357593
min_duration_pause_p,0.004293187
comp_prod_f_10,0.0042618685
swta_f_46,0.004210376
comp_prod_f_36,0.0041993046
swta_f_54,0.004140836
swta_f_15,0.0040897545
min_duration_gap_c2p,0.004048548
swta_f_53,0.00397263
swta_f_57,0.003971017
comp_prod_f_54,0.0038882492
swta_f_26,0.003867634
mean_duration_pause_p,0.0038626636
max_duration_gap_c2p,0.003846603
swta_f_23,0.0038200316
gap_before_mean_gap_p2c,0.0038194114
swta_f_63,0.0038142232
std_duration_pause_c,0.0038128733
swta_f_58,0.0038005183
swta_f_20,0.0037938077
comp_prod_f_50,0.0037825166
swta_f_27,0.0037792325
comp_prod_f_63,0.0037791235
swta_f_52,0.003775769
comp_prod_f_4,0.0037624962
swta_f_13,0.0037086208
comp_prod_f_18,0.0036812718
comp_prod_f_30,0.0036760096
comp_prod_f_48,0.0036732045
comp_prod_f_37,0.003638784
comp_prod_f_20,0.0036381185
comp_prod_f_21,0.0035859055
swta_f_4,0.0035705878
comp_prod_f_32,0.0035472724
comp_prod_f_53,0.0035439956
median_duration_pause_p,0.0035398393
comp_prod_f_56,0.0035235204
count_production,0.0035011203
swta_f_37,0.0034887714
comp_prod_f_45,0.003462718
swta_f_1,0.0034601935
comp_prod_f_29,0.003432994
comp_prod_f_42,0.0033995619
gap_before_std_pause_p,0.0033901185
swta_f_45,0.0033136068
swta_f_30,0.0033110424
comp_prod_f_19,0.0033051772
swta_f_29,0.0032943238
comp_prod_f_7,0.0032905778
comp_prod_f_15,0.0032897727
swta_f_31,0.0032875955
mean_duration_gap_c2p,0.003268644
duration_gap_p2c,0.0032631278
comp_prod_f_2,0.0032598856
comp_prod_f_23,0.0032498217
swta_f_28,0.003210789
swta_f_9,0.0031948243
gap_before_mean_production,0.0031391657
comp_prod_f_40,0.0031347838
swta_f_50,0.0031298206
swta_f_18,0.003120678
swta_f_8,0.0031181
comp_prod_f_58,0.0031021708
comp_prod_f_51,0.0030884515
comp_prod_f_49,0.0030838829
comp_prod_f_5,0.003067653
comp_prod_f_27,0.0030612755
comp_prod_f_52,0.0030582051
swta_f_49,0.0030570643
swta_f_51,0.0030449925
swta_f_43,0.003038171
comp_prod_f_9,0.0030106811
swta_f_14,0.003008098
count_pause_c,0.002975456
comp_prod_f_65,0.0029385483
comp_prod_f_64,0.0029276602
comp_prod_f_14,0.0029177673
swta_f_6,0.002916516
swta_f_64,0.0029024754
comp_prod_f_43,0.0028644083
swta_f_19,0.002858096
comp_prod_f_1,0.002814677
comp_prod_f_31,0.002812099
swta_f_12,0.002797461
swta_f_7,0.002794456
comp_prod_f_12,0.0027937493
swta_f_56,0.0027559293
gap_before_std_production,0.0027425732
comp_prod_f_34,0.0026978285
comp_prod_f_8,0.0026834856
swta_f_36,0.0026556738
swta_f_5,0.0026400713
comp_prod_f_62,0.0026256314
gap_before_std_pause_c,0.0026240328
swta_f_34,0.0025739418
comp_prod_f_6,0.0025420121
swta_f_40,0.0024801344
swta_f_65,0.0024499404
swta_f_21,0.002374978
swta_f_62,0.0023667633
std_duration_gap_c2p,0.0022853292
comp_prod_f_28,0.0022833229
comp_prod_f_57,0.0021953348
swta_f_61,0.0
comp_prod_f_17,0.0
gap_before_std_gap_c2p,0.0
rate_production,0.0
proportion_time_gap_c2p,0.0
comp_prod_f_61,0.0
proportion_time_production,0.0
rate_gap_c2p,0.0
swta_f_39,0.0
rate_comprehension,0.0
proportion_time_comprehension,0.0
rate_pause_p,0.0
gap_before_std_gap_p2c,0.0
proportion_time_gap_p2c,0.0
proportion_time_pause_p,0.0
rate_gap_p2c,0.0
swta_f_17,0.0
comp_prod_f_39,0.0
rate_pause_c,0.0
proportion_time_pause_c,0.0
