Feature,Importance
mean_duration_comprehension,0.050551087
swta_f_22,0.030262137
max_duration_comprehension,0.028237747
gap_before_mean_comprehension,0.02143873
swta_f_60,0.018371237
comp_prod_f_38,0.016132122
duration_comprehension,0.01559423
swta_f_33,0.013932899
comp_prod_f_13,0.013370063
max_duration_production,0.012496355
median_duration_gap_c2p,0.011850408
duration_production,0.011723729
swta_f_25,0.011497906
std_duration_comprehension,0.010988921
swta_f_47,0.010412611
comp_prod_f_55,0.0099016735
min_duration_gap_p2c,0.009801084
comp_prod_f_16,0.0097474
swta_f_35,0.009716526
count_comprehension,0.009066922
swta_f_55,0.008737501
swta_f_24,0.00860907
comp_prod_f_22,0.008445027
std_duration_pause_p,0.0077517256
comp_prod_f_11,0.007625571
comp_prod_f_47,0.0075953417
duration_pause_p,0.0074207108
comp_prod_f_60,0.0072801663
comp_prod_f_25,0.007255505
gap_before_std_comprehension,0.0072203744
min_duration_comprehension,0.007087026
swta_f_44,0.0069658444
median_duration_gap_p2c,0.006816013
comp_prod_f_3,0.006800603
comp_prod_f_59,0.006671415
comp_prod_f_46,0.0064203185
median_duration_production,0.0063080653
comp_prod_f_24,0.0061857323
mean_duration_gap_p2c,0.006133416
std_duration_production,0.006063983
gap_before_mean_gap_c2p,0.00604471
median_duration_comprehension,0.0059850398
swta_f_59,0.00585992
comp_prod_f_32,0.0058368365
swta_f_10,0.005772646
swta_f_16,0.0057520685
max_duration_pause_p,0.0056905965
mean_duration_pause_c,0.0056787115
count_pause_c,0.0056350045
swta_f_0,0.0054937974
comp_prod_f_44,0.0054243337
swta_f_2,0.005387968
std_duration_gap_p2c,0.0053570345
swta_f_38,0.0053320797
min_duration_production,0.005314036
gap_before_mean_pause_c,0.0053099603
comp_prod_f_0,0.005285206
duration_pause_c,0.0052138492
mean_duration_production,0.005144519
max_duration_pause_c,0.0051188623
swta_f_13,0.0050206548
swta_f_32,0.0049987803
gap_before_std_pause_p,0.004922076
swta_f_57,0.0048933877
max_duration_gap_c2p,0.004861941
swta_f_11,0.004835823
swta_f_3,0.004777478
swta_f_46,0.0046731597
median_duration_pause_c,0.0046436214
swta_f_42,0.004545262
comp_prod_f_53,0.0045176963
swta_f_15,0.0045170556
comp_prod_f_2,0.0044946005
count_gap_p2c,0.0044608032
swta_f_4,0.0043724184
swta_f_54,0.0043586763
comp_prod_f_1,0.004318861
min_duration_gap_c2p,0.0042816154
comp_prod_f_14,0.0042811953
mean_duration_pause_p,0.0042507355
comp_prod_f_41,0.0042411936
swta_f_40,0.0041901604
comp_prod_f_50,0.004167717
comp_prod_f_26,0.004156638
swta_f_1,0.0041458486
comp_prod_f_37,0.004106335
count_gap_c2p,0.0041006645
duration_gap_c2p,0.0040648216
comp_prod_f_9,0.004056297
median_duration_pause_p,0.0040297057
swta_f_41,0.0040227217
comp_prod_f_7,0.003995313
swta_f_48,0.003979128
min_duration_pause_p,0.0039450363
comp_prod_f_33,0.0039284625
gap_before_mean_gap_p2c,0.0039084107
comp_prod_f_65,0.0038872059
swta_f_51,0.0038623977
comp_prod_f_23,0.0038453268
comp_prod_f_35,0.0038451818
