Feature,Importance
mean_duration_comprehension,0.05716398
swta_f_22,0.05346214
swta_f_60,0.022105772
swta_f_55,0.01900177
gap_before_mean_comprehension,0.017719992
max_duration_comprehension,0.015230171
duration_comprehension,0.01487072
comp_prod_f_38,0.014284385
swta_f_25,0.012536344
swta_f_24,0.012041274
median_duration_comprehension,0.011876939
comp_prod_f_55,0.01110464
comp_prod_f_60,0.010447061
max_duration_production,0.01030235
swta_f_47,0.009979726
comp_prod_f_22,0.009931869
duration_production,0.009903814
comp_prod_f_25,0.009343601
median_duration_gap_c2p,0.009186907
duration_pause_p,0.00866557
swta_f_33,0.008442144
median_duration_gap_p2c,0.008325902
count_comprehension,0.008114955
comp_prod_f_11,0.008100664
min_duration_gap_p2c,0.0077176746
comp_prod_f_47,0.0077005355
comp_prod_f_24,0.0073635895
mean_duration_pause_c,0.0068820557
median_duration_production,0.006779665
comp_prod_f_0,0.0067250365
swta_f_44,0.006549355
std_duration_comprehension,0.0064422325
std_duration_production,0.006441632
gap_before_mean_gap_c2p,0.0062777633
comp_prod_f_46,0.006137829
swta_f_16,0.0061321435
max_duration_pause_p,0.006093374
comp_prod_f_44,0.0060474263
max_duration_gap_c2p,0.0057838154
gap_before_std_comprehension,0.0057309675
swta_f_46,0.005711819
count_gap_c2p,0.005656106
swta_f_2,0.005583062
swta_f_38,0.0055249534
comp_prod_f_16,0.0054198294
comp_prod_f_2,0.0053385827
std_duration_pause_p,0.005327431
comp_prod_f_3,0.005299675
comp_prod_f_59,0.005293774
min_duration_comprehension,0.0052564377
std_duration_gap_p2c,0.0051831915
min_duration_production,0.0051208967
min_duration_pause_c,0.0050920197
duration_pause_c,0.004951189
gap_before_std_pause_p,0.004944328
swta_f_10,0.004847134
gap_before_mean_pause_c,0.0047808485
mean_duration_pause_p,0.0047529754
swta_f_32,0.00470057
swta_f_0,0.004694825
min_duration_gap_c2p,0.0046453755
swta_f_11,0.0046252795
mean_duration_gap_p2c,0.0045805066
swta_f_3,0.0045523685
mean_duration_production,0.004479988
swta_f_4,0.0044064824
swta_f_42,0.0043814457
max_duration_gap_p2c,0.004366536
max_duration_pause_c,0.004327956
median_duration_pause_p,0.0043177283
swta_f_54,0.0043147807
swta_f_26,0.0042869113
swta_f_48,0.004238283
comp_prod_f_32,0.004214508
swta_f_23,0.0041766064
comp_prod_f_10,0.0041597695
mean_duration_gap_c2p,0.0041403514
swta_f_19,0.004138935
comp_prod_f_7,0.004092995
swta_f_29,0.0040188795
min_duration_pause_p,0.0040123314
swta_f_37,0.003988578
comp_prod_f_48,0.003968648
std_duration_gap_c2p,0.003943396
count_pause_c,0.0039376547
comp_prod_f_35,0.0039291955
comp_prod_f_43,0.0039257524
comp_prod_f_15,0.0039250976
duration_gap_c2p,0.003916023
swta_f_62,0.0039019743
comp_prod_f_26,0.0038935572
swta_f_36,0.003874157
swta_f_63,0.0038552377
comp_prod_f_37,0.0038456449
gap_before_std_production,0.0038346662
gap_before_mean_pause_p,0.0038204857
comp_prod_f_1,0.0038177727
comp_prod_f_42,0.0038109843
count_production,0.0038055729
swta_f_7,0.0037860866
comp_prod_f_4,0.0037828477
std_duration_pause_c,0.0037815007
comp_prod_f_18,0.0037674708
gap_before_std_pause_c,0.0037433675
comp_prod_f_21,0.0037254845
swta_f_20,0.003701976
swta_f_49,0.0036999225
comp_prod_f_62,0.0036967243
comp_prod_f_9,0.0036934263
median_duration_pause_c,0.0036915154
comp_prod_f_19,0.003684134
comp_prod_f_41,0.0036830076
swta_f_43,0.0036782578
count_gap_p2c,0.0036448638
duration_gap_p2c,0.0036341688
comp_prod_f_50,0.0036259566
gap_before_mean_gap_p2c,0.0035990037
comp_prod_f_49,0.0035888595
swta_f_52,0.0035791383
swta_f_59,0.003578424
swta_f_21,0.0035709955
swta_f_41,0.0035597973
comp_prod_f_20,0.0035532499
comp_prod_f_23,0.0035328213
comp_prod_f_56,0.003495351
comp_prod_f_51,0.0034536002
swta_f_58,0.0034496621
comp_prod_f_54,0.0034192703
swta_f_51,0.003412376
swta_f_15,0.0034048436
swta_f_28,0.0033783417
swta_f_1,0.0033709053
swta_f_64,0.0033641404
gap_before_mean_production,0.0033625588
comp_prod_f_31,0.0033427754
gap_before_std_gap_c2p,0.0033413349
comp_prod_f_52,0.0033236395
comp_prod_f_53,0.0033176902
swta_f_14,0.0033062922
swta_f_35,0.003296092
comp_prod_f_33,0.0032830937
comp_prod_f_12,0.003277704
swta_f_30,0.0032078032
swta_f_50,0.0031898178
comp_prod_f_64,0.003184785
comp_prod_f_29,0.0031651563
swta_f_34,0.0031635324
comp_prod_f_45,0.0031508682
comp_prod_f_6,0.0031240822
comp_prod_f_63,0.0031012828
swta_f_27,0.003095354
comp_prod_f_30,0.0030907714
comp_prod_f_34,0.0030853306
swta_f_53,0.0030745878
comp_prod_f_27,0.0030342857
comp_prod_f_8,0.0030329518
swta_f_56,0.0030174134
swta_f_8,0.003016446
swta_f_31,0.0030153764
comp_prod_f_58,0.0030049188
count_pause_p,0.0029778546
comp_prod_f_14,0.002956281
swta_f_45,0.0029443577
comp_prod_f_40,0.0029409837
comp_prod_f_36,0.0029137654
swta_f_13,0.0029094736
swta_f_18,0.0029066633
swta_f_5,0.0028464547
swta_f_12,0.0027740896
swta_f_6,0.0027289076
comp_prod_f_65,0.0027224952
swta_f_9,0.0026518167
swta_f_57,0.0026091675
comp_prod_f_5,0.0025703437
comp_prod_f_28,0.0025493472
comp_prod_f_13,0.002465417
comp_prod_f_57,0.002294371
swta_f_65,0.00205871
swta_f_40,0.0019936704
gap_before_std_gap_p2c,0.0003485699
comp_prod_f_39,0.0
swta_f_39,0.0
proportion_time_gap_p2c,0.0
comp_prod_f_61,0.0
