Feature,Importance
mean_duration_comprehension,0.07528434
swta_f_22,0.045012925
comp_prod_f_38,0.024387777
swta_f_33,0.023103064
comp_prod_f_13,0.01987834
duration_comprehension,0.019078271
gap_before_mean_comprehension,0.018559387
swta_f_55,0.012880739
duration_production,0.012291376
swta_f_25,0.01136381
max_duration_production,0.010739495
swta_f_60,0.010638068
swta_f_47,0.010476584
min_duration_comprehension,0.009919717
min_duration_gap_p2c,0.009799754
swta_f_24,0.009541051
duration_pause_p,0.009503187
std_duration_comprehension,0.009197588
swta_f_35,0.0090377955
comp_prod_f_55,0.008996391
comp_prod_f_47,0.0089088855
comp_prod_f_24,0.008905759
comp_prod_f_22,0.008451179
comp_prod_f_16,0.0074212635
max_duration_pause_p,0.007384531
swta_f_57,0.0071998606
max_duration_pause_c,0.006876914
swta_f_16,0.0067769447
max_duration_comprehension,0.0067014694
swta_f_44,0.006696245
comp_prod_f_60,0.006670748
comp_prod_f_25,0.0063573606
median_duration_gap_c2p,0.0060574533
std_duration_pause_p,0.0060500717
swta_f_0,0.006042905
mean_duration_pause_c,0.0060225236
comp_prod_f_0,0.005843484
median_duration_comprehension,0.0058219815
swta_f_10,0.005742223
std_duration_production,0.0056992574
comp_prod_f_44,0.0056469804
count_comprehension,0.0056405813
count_gap_c2p,0.0055601853
median_duration_production,0.005558438
swta_f_2,0.005523825
swta_f_3,0.00531362
comp_prod_f_11,0.0053133
gap_before_std_comprehension,0.005290484
swta_f_38,0.0052465796
duration_pause_c,0.005122064
comp_prod_f_46,0.005085564
min_duration_production,0.005049166
median_duration_pause_c,0.0050041093
comp_prod_f_3,0.004934567
count_gap_p2c,0.0049326285
comp_prod_f_10,0.0048934184
comp_prod_f_2,0.004746985
gap_before_mean_gap_c2p,0.0047091013
swta_f_26,0.004670873
median_duration_gap_p2c,0.0045904033
comp_prod_f_4,0.0045702737
comp_prod_f_41,0.004521618
mean_duration_pause_p,0.004501872
comp_prod_f_59,0.0044955127
gap_before_std_pause_p,0.004458259
count_production,0.0044357553
mean_duration_production,0.0043642907
mean_duration_gap_p2c,0.004356775
swta_f_54,0.0042833374
median_duration_pause_p,0.004265087
min_duration_pause_c,0.0042630504
swta_f_11,0.004252475
comp_prod_f_33,0.0042484063
swta_f_32,0.004230413
gap_before_mean_pause_c,0.0042222487
comp_prod_f_26,0.004189452
count_pause_p,0.0041717784
std_duration_pause_c,0.004118621
swta_f_42,0.004076412
duration_gap_c2p,0.0039990316
comp_prod_f_32,0.0039901063
swta_f_48,0.0038735182
swta_f_46,0.0038714947
comp_prod_f_18,0.003865291
swta_f_13,0.0038556063
max_duration_gap_c2p,0.0038404982
comp_prod_f_35,0.0038047584
count_pause_c,0.0038044734
comp_prod_f_50,0.0037995453
swta_f_23,0.0037940103
comp_prod_f_15,0.0037919944
std_duration_gap_p2c,0.0037909017
swta_f_4,0.0037755924
swta_f_37,0.0037578908
comp_prod_f_23,0.0037435042
comp_prod_f_7,0.003726797
swta_f_27,0.0037196057
comp_prod_f_48,0.0037044194
comp_prod_f_53,0.0036661946
swta_f_15,0.0036597853
swta_f_53,0.003653877
comp_prod_f_36,0.0036450122
swta_f_41,0.0036408694
comp_prod_f_54,0.003609868
gap_before_std_pause_c,0.0036045345
gap_before_mean_gap_p2c,0.003596892
swta_f_20,0.0035800075
swta_f_63,0.003569083
mean_duration_gap_c2p,0.0035593947
swta_f_1,0.0035400244
swta_f_51,0.0035060267
comp_prod_f_1,0.0034997298
swta_f_36,0.0034910939
swta_f_59,0.0034799133
min_duration_gap_c2p,0.003458636
comp_prod_f_37,0.0034405515
swta_f_14,0.0034120968
comp_prod_f_62,0.00339288
max_duration_gap_p2c,0.0033835957
gap_before_mean_pause_p,0.00337231
swta_f_58,0.0033597734
min_duration_pause_p,0.0033550914
comp_prod_f_8,0.0033467896
std_duration_gap_c2p,0.0033379619
comp_prod_f_57,0.0033282796
swta_f_29,0.0033160055
swta_f_45,0.003314708
swta_f_49,0.0033071323
swta_f_19,0.0032633224
swta_f_5,0.0032467297
swta_f_8,0.0032429139
comp_prod_f_49,0.0032391287
comp_prod_f_30,0.0032380694
comp_prod_f_29,0.0032014633
comp_prod_f_21,0.0031843975
swta_f_52,0.0031733909
gap_before_std_production,0.0031605246
duration_gap_p2c,0.003142641
comp_prod_f_42,0.0031337235
comp_prod_f_14,0.0031113578
comp_prod_f_63,0.0031053678
swta_f_30,0.0030949973
swta_f_50,0.0030837646
swta_f_9,0.0030688753
gap_before_mean_production,0.0030570782
comp_prod_f_19,0.0030344736
comp_prod_f_45,0.002998502
comp_prod_f_20,0.002998414
comp_prod_f_64,0.0029895783
swta_f_56,0.00295976
swta_f_6,0.0029249485
swta_f_7,0.0029144252
swta_f_65,0.0029115516
swta_f_28,0.002904858
comp_prod_f_5,0.0028968032
comp_prod_f_27,0.0028923275
comp_prod_f_12,0.0028763753
swta_f_31,0.0028672935
swta_f_64,0.0028183535
comp_prod_f_31,0.002777117
comp_prod_f_9,0.0027691303
comp_prod_f_58,0.0027489285
comp_prod_f_6,0.0027466114
comp_prod_f_51,0.0026920435
comp_prod_f_34,0.002667604
comp_prod_f_40,0.0026647612
comp_prod_f_52,0.00258434
swta_f_34,0.0025767516
comp_prod_f_56,0.0025760827
swta_f_18,0.0024806538
swta_f_21,0.0024715113
comp_prod_f_28,0.0024309258
swta_f_40,0.0024232464
swta_f_12,0.0024151881
swta_f_43,0.0023740558
comp_prod_f_65,0.002325956
comp_prod_f_43,0.00228429
swta_f_62,0.0021389297
rate_comprehension,0.0
swta_f_39,0.0
proportion_time_gap_c2p,0.0
rate_gap_c2p,0.0
swta_f_17,0.0
comp_prod_f_61,0.0
gap_before_std_gap_p2c,0.0
rate_production,0.0
proportion_time_gap_p2c,0.0
rate_gap_p2c,0.0
proportion_time_production,0.0
swta_f_61,0.0
proportion_time_pause_c,0.0
rate_pause_c,0.0
proportion_time_pause_p,0.0
comp_prod_f_17,0.0
