Feature,Importance
mean_duration_comprehension,0.06849974
swta_f_22,0.028528044
gap_before_mean_comprehension,0.02248735
swta_f_60,0.02202293
swta_f_55,0.015735967
swta_f_25,0.015524043
comp_prod_f_55,0.01474349
comp_prod_f_38,0.014433791
duration_comprehension,0.013839986
max_duration_production,0.013483774
median_duration_comprehension,0.01083049
swta_f_47,0.010780001
duration_production,0.010635434
median_duration_gap_c2p,0.01038546
duration_pause_p,0.008965648
min_duration_gap_p2c,0.008851297
comp_prod_f_22,0.008722969
median_duration_production,0.008658733
max_duration_comprehension,0.008611559
swta_f_24,0.00831703
comp_prod_f_13,0.008194569
std_duration_comprehension,0.008008039
swta_f_33,0.007879497
swta_f_44,0.007869155
comp_prod_f_25,0.0075953035
comp_prod_f_47,0.007514404
comp_prod_f_11,0.0073409867
comp_prod_f_60,0.007259941
count_comprehension,0.0072326874
std_duration_pause_p,0.007210266
comp_prod_f_46,0.006930608
swta_f_38,0.0069283294
min_duration_comprehension,0.0069105043
median_duration_gap_p2c,0.006583855
swta_f_2,0.006525371
comp_prod_f_44,0.0063544577
gap_before_std_comprehension,0.0062259506
comp_prod_f_0,0.0060954206
gap_before_mean_gap_c2p,0.0060019614
comp_prod_f_16,0.005953346
comp_prod_f_24,0.0059091765
count_gap_c2p,0.00586357
comp_prod_f_3,0.0058603534
comp_prod_f_2,0.0057373797
mean_duration_pause_c,0.005733432
swta_f_3,0.005726227
swta_f_16,0.005693991
max_duration_pause_p,0.005622842
std_duration_gap_p2c,0.005618428
mean_duration_gap_p2c,0.0056058005
min_duration_production,0.005540911
swta_f_0,0.0055363458
swta_f_10,0.005520934
max_duration_pause_c,0.005484045
std_duration_production,0.005421053
comp_prod_f_41,0.005236427
swta_f_32,0.005235474
swta_f_54,0.0052167084
comp_prod_f_32,0.0051873834
median_duration_pause_c,0.005149523
swta_f_11,0.0051355585
max_duration_gap_c2p,0.005074177
gap_before_mean_pause_c,0.0049838684
mean_duration_production,0.004929599
count_gap_p2c,0.004921918
swta_f_35,0.004910391
comp_prod_f_59,0.0048061614
swta_f_46,0.0047447206
mean_duration_pause_p,0.0046523265
count_pause_p,0.004477161
min_duration_pause_p,0.0044626445
mean_duration_gap_c2p,0.0044189356
duration_gap_c2p,0.0043901913
comp_prod_f_51,0.0043871794
swta_f_42,0.0043483293
duration_pause_c,0.004324125
max_duration_gap_p2c,0.0043145576
comp_prod_f_4,0.0042976053
swta_f_59,0.0042646583
median_duration_pause_p,0.004176554
comp_prod_f_21,0.004162404
min_duration_pause_c,0.004143218
swta_f_57,0.004102247
comp_prod_f_33,0.004065926
swta_f_45,0.0040301774
swta_f_1,0.0039996468
comp_prod_f_18,0.0039977534
std_duration_pause_c,0.0039840634
comp_prod_f_50,0.00397893
comp_prod_f_36,0.0039643412
swta_f_26,0.003951201
comp_prod_f_23,0.003948568
comp_prod_f_26,0.0039088107
gap_before_mean_pause_p,0.003902576
comp_prod_f_40,0.0038908804
swta_f_23,0.0038738942
comp_prod_f_20,0.0038651591
comp_prod_f_35,0.003858363
swta_f_19,0.0038564391
swta_f_48,0.0038432751
swta_f_58,0.003833804
swta_f_41,0.003828764
comp_prod_f_7,0.0038260682
gap_before_mean_gap_p2c,0.0038260093
comp_prod_f_53,0.0037929167
comp_prod_f_19,0.0037833238
comp_prod_f_64,0.003778833
comp_prod_f_63,0.0037777084
comp_prod_f_43,0.0037759412
swta_f_4,0.0037648918
swta_f_63,0.0037305134
comp_prod_f_1,0.0036992088
swta_f_13,0.0036948835
swta_f_36,0.0036798913
swta_f_31,0.003659393
comp_prod_f_31,0.003652094
gap_before_std_pause_p,0.0036492213
gap_before_mean_production,0.0036444722
swta_f_51,0.003620879
swta_f_43,0.0036198325
comp_prod_f_56,0.0035939105
comp_prod_f_15,0.003555736
comp_prod_f_29,0.0035274248
comp_prod_f_12,0.0035261037
swta_f_29,0.0035241914
swta_f_52,0.0035072705
swta_f_49,0.0035001452
swta_f_28,0.0034701764
comp_prod_f_37,0.0034563197
comp_prod_f_49,0.003453209
swta_f_64,0.00343772
swta_f_53,0.0033857352
comp_prod_f_45,0.00337977
swta_f_50,0.0033753777
swta_f_15,0.0033477603
comp_prod_f_9,0.0033413104
min_duration_gap_c2p,0.0033299343
std_duration_gap_c2p,0.0033094883
comp_prod_f_65,0.0033066378
swta_f_37,0.003300868
swta_f_40,0.0032984088
swta_f_18,0.0032687485
comp_prod_f_48,0.0032385897
comp_prod_f_30,0.003207524
swta_f_9,0.0032008602
swta_f_34,0.003195745
duration_gap_p2c,0.0031555123
swta_f_20,0.0031330038
comp_prod_f_57,0.0031177364
comp_prod_f_8,0.0031070537
comp_prod_f_10,0.0030731526
comp_prod_f_14,0.0030727205
count_pause_c,0.0030704169
gap_before_std_production,0.0030649842
comp_prod_f_62,0.003040447
swta_f_14,0.0030304375
comp_prod_f_34,0.0030142828
gap_before_std_pause_c,0.0030021735
swta_f_5,0.0029930864
comp_prod_f_27,0.0029594195
comp_prod_f_54,0.002932754
comp_prod_f_42,0.0029249093
swta_f_7,0.0029235587
swta_f_27,0.002888163
comp_prod_f_5,0.002822629
comp_prod_f_58,0.0027906694
swta_f_56,0.0027659757
comp_prod_f_6,0.0026820805
swta_f_12,0.0026796842
count_production,0.002655242
swta_f_30,0.002630812
comp_prod_f_52,0.0025868043
comp_prod_f_28,0.0025361618
swta_f_6,0.0024859663
swta_f_65,0.0024797078
swta_f_8,0.002420918
swta_f_21,0.0022828835
