Feature,Importance
mean_duration_comprehension,0.069102004
swta_f_22,0.041879732
comp_prod_f_38,0.02460701
swta_f_33,0.023212515
gap_before_mean_comprehension,0.019948391
comp_prod_f_13,0.0177623
duration_comprehension,0.01710673
comp_prod_f_22,0.014258005
swta_f_25,0.013140162
swta_f_55,0.012890456
duration_production,0.012411746
max_duration_production,0.010393985
comp_prod_f_60,0.009624231
swta_f_47,0.009335016
swta_f_44,0.009217338
swta_f_38,0.009041014
min_duration_gap_p2c,0.00892255
std_duration_comprehension,0.008558051
duration_pause_p,0.008545465
median_duration_gap_c2p,0.008512703
swta_f_24,0.008213515
swta_f_35,0.00805337
median_duration_comprehension,0.008032311
min_duration_comprehension,0.007980929
max_duration_pause_c,0.0077417553
gap_before_std_comprehension,0.007513091
comp_prod_f_11,0.0074778637
count_pause_c,0.0072843633
comp_prod_f_16,0.0072524957
max_duration_comprehension,0.0071268887
comp_prod_f_55,0.0069084307
comp_prod_f_0,0.0069048423
swta_f_16,0.0068235314
median_duration_production,0.0066991663
mean_duration_production,0.006535939
comp_prod_f_47,0.0064962087
comp_prod_f_25,0.0064620073
max_duration_pause_p,0.006427266
std_duration_pause_p,0.006013937
comp_prod_f_46,0.005776087
swta_f_0,0.0057138284
mean_duration_pause_c,0.005579622
gap_before_mean_gap_c2p,0.005576798
swta_f_2,0.0055581736
count_gap_c2p,0.00547214
comp_prod_f_44,0.005464614
comp_prod_f_24,0.00542673
swta_f_32,0.0053265495
comp_prod_f_33,0.005227082
comp_prod_f_3,0.0052027893
median_duration_gap_p2c,0.0051650926
swta_f_60,0.0051626847
duration_pause_c,0.0051374473
min_duration_production,0.005112168
swta_f_10,0.004994534
mean_duration_gap_p2c,0.004983266
swta_f_3,0.0049223197
std_duration_production,0.0048337537
comp_prod_f_41,0.0046648234
swta_f_40,0.0046597067
max_duration_gap_c2p,0.004498267
comp_prod_f_32,0.004490506
swta_f_46,0.004451223
comp_prod_f_35,0.004427176
swta_f_11,0.004401302
swta_f_36,0.004383893
gap_before_std_pause_p,0.004370687
comp_prod_f_59,0.004285119
mean_duration_pause_p,0.0042574205
median_duration_pause_p,0.004215308
min_duration_pause_p,0.0041870126
swta_f_41,0.0041723116
median_duration_pause_c,0.0040906663
min_duration_pause_c,0.0040874663
comp_prod_f_18,0.0040413695
mean_duration_gap_c2p,0.0040102084
comp_prod_f_42,0.0039986107
count_gap_p2c,0.0039821654
swta_f_59,0.0039563626
comp_prod_f_50,0.0039532715
swta_f_20,0.0039513684
gap_before_mean_pause_c,0.003949991
swta_f_53,0.003925744
gap_before_mean_pause_p,0.0039232573
swta_f_48,0.003918855
comp_prod_f_4,0.0039057927
swta_f_54,0.0038836782
count_pause_p,0.0038650641
swta_f_13,0.003846004
swta_f_42,0.0037623444
comp_prod_f_2,0.00374946
swta_f_19,0.0037264011
std_duration_gap_c2p,0.003673573
comp_prod_f_53,0.0036611978
std_duration_gap_p2c,0.0036564653
swta_f_15,0.0036442962
swta_f_51,0.0036217442
swta_f_50,0.0036054277
swta_f_29,0.0036027615
duration_gap_c2p,0.0035857772
swta_f_4,0.0035855041
comp_prod_f_10,0.003530565
swta_f_14,0.0035259824
min_duration_gap_c2p,0.0035022562
max_duration_gap_p2c,0.0035004579
comp_prod_f_30,0.0034961647
swta_f_62,0.00349351
std_duration_pause_c,0.0034878117
count_comprehension,0.0034705622
comp_prod_f_21,0.0034635682
comp_prod_f_48,0.0034430595
comp_prod_f_36,0.0034344813
swta_f_63,0.0034329589
swta_f_45,0.003424464
comp_prod_f_40,0.0034195245
gap_before_std_gap_c2p,0.0034187422
comp_prod_f_51,0.0034071202
comp_prod_f_15,0.0034065542
comp_prod_f_7,0.0034060916
gap_before_mean_production,0.003374221
swta_f_1,0.003362281
swta_f_8,0.0033592696
swta_f_43,0.00335713
comp_prod_f_23,0.0033437435
swta_f_31,0.0033289196
swta_f_57,0.0033285483
swta_f_23,0.003324565
swta_f_64,0.0032703865
comp_prod_f_37,0.0032671536
swta_f_21,0.0032656752
swta_f_28,0.0032544814
comp_prod_f_56,0.0032512
comp_prod_f_62,0.0032436415
count_production,0.0032271731
swta_f_49,0.0032185882
comp_prod_f_63,0.0031917384
comp_prod_f_49,0.0031741057
comp_prod_f_29,0.0031658693
comp_prod_f_20,0.0031619128
comp_prod_f_43,0.0031511358
comp_prod_f_58,0.003118288
comp_prod_f_19,0.0031179888
comp_prod_f_9,0.0031102407
swta_f_37,0.0031059359
comp_prod_f_64,0.003096444
comp_prod_f_1,0.0030964313
comp_prod_f_26,0.0030800188
swta_f_30,0.0030788432
swta_f_26,0.00306582
