Feature,Importance
dmn_medial_tpj_mean,0.09746233
prod_vs_comp_combined_mean,0.08010106
dmn_medial_tpj_energy,0.041853677
prod_vs_comp_combined_energy,0.03785713
comp_vs_prod_combined_fft_std,0.034703217
dmn_medial_tpj_max,0.027202107
dmn_medial_tpj_fft_std,0.026752722
prod_vs_comp_combined_fft_std,0.023416888
comp_vs_prod_combined_zcr,0.020442078
dmn_medial_tpj_min,0.019476628
prod_vs_comp_combined_max,0.019307137
prod_vs_comp_combined_min,0.018702526
comp_vs_prod_combined_mean,0.015463392
dmn_medial_tpj_mobility,0.013647655
comp_vs_prod_combined_energy,0.013595545
comp_vs_prod_combined_max,0.013355343
dmn_medial_tpj_std,0.0127449
lag1_corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.012202263
prod_vs_comp_combined_intercept,0.0119147925
comp_vs_prod_combined_min,0.011779281
comp_vs_prod_combined_fft_mean,0.0110363215
dmn_medial_tpj_autocorr,0.011008107
dmn_medial_tpj_zcr,0.010958126
lag1_corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.010805764
comp_vs_prod_combined_range,0.010572278
dmn_medial_tpj_range,0.010172977
prod_vs_comp_combined_complexity,0.009722702
comp_vs_prod_combined_complexity,0.009415235
dmn_medial_tpj_intercept,0.009344174
comp_vs_prod_combined_intercept,0.009156792
dmn_medial_tpj_complexity,0.00909342
dmn_medial_tpj_diff2_mean,0.008935342
prod_vs_comp_combined_diff_mean,0.008839937
comp_vs_prod_combined_diff2_mean,0.008797709
prod_vs_comp_combined_std,0.008781838
prod_vs_comp_combined_fft_mean,0.008574637
dmn_medial_tpj_fft_mean,0.008489814
corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.008469424
corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.0084545715
prod_vs_comp_combined_kurtosis,0.008435709
comp_vs_prod_combined_diff_mean,0.008274197
prod_vs_comp_combined_range,0.00825426
lag1_corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.008228131
lag2_corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.008148781
lag3_corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.00811913
comp_vs_prod_combined_entropy,0.007881318
prod_vs_comp_combined_skew,0.007840459
lag3_corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.0078368755
dmn_medial_tpj_slope,0.00781381
comp_vs_prod_combined_mobility,0.0077721933
dmn_medial_tpj_diff_mean,0.0076635797
lag3_corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.007657356
dmn_medial_tpj_slope_changes,0.0076449323
prod_vs_comp_combined_diff2_mean,0.007615932
lag2_corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.0076076286
comp_vs_prod_combined_slope,0.0076012667
prod_vs_comp_combined_mobility,0.0075979996
prod_vs_comp_combined_slope_changes,0.0074655404
prod_vs_comp_combined_peak_freq,0.007407746
comp_vs_prod_combined_autocorr,0.007374618
prod_vs_comp_combined_autocorr,0.0073290546
prod_vs_comp_combined_slope,0.007312021
comp_vs_prod_combined_kurtosis,0.0072273808
corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.0072144605
prod_vs_comp_combined_zcr,0.007159402
comp_vs_prod_combined_std,0.0071346997
comp_vs_prod_combined_peak_freq,0.0070295543
lag2_corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.0069175335
dmn_medial_tpj_entropy,0.0068780477
dmn_medial_tpj_kurtosis,0.0067790053
dmn_medial_tpj_peak_freq,0.0067224856
prod_vs_comp_combined_entropy,0.0066462164
comp_vs_prod_combined_slope_changes,0.006547994
comp_vs_prod_combined_skew,0.006357904
dmn_medial_tpj_skew,0.005892892
prod_vs_comp_combined_fft_power,0.0
comp_vs_prod_combined_fft_power,0.0
dmn_medial_tpj_fft_power,0.0
