subject_id,run,dilemma,eng_level,condition,,,,eyetracking_start,eyetracking_end
34,2,aging_pill,normal,robot,aging_pill,normal,robot,,
34,3,points_system,low,robot,points_system,low,robot,,
35,1,arm_chip,high,robot,arm_chip,high,robot,,
35,2,robot_judges,normal,robot,robot_judges,normal,robot,,
35,3,aging_pill,low,robot,aging_pill,low,robot,,
36,2,dna_dating,normal,robot,dna_dating,normal,robot,,
36,3,robot_judges,high,robot,robot_judges,high,robot,,
37,1,aging_pill,high,robot,,,,,
37,2,arm_chip,normal,robot,,,,,
37,3,tracking_app,low,robot,,,,,
38,1,arm_chip,low,robot,arm_chip,low,robot,,
38,2,aging_pill,normal,robot,aging_pill,normal,robot,,
38,3,tracking_app,high,robot,tracking_app,high,robot,,
39,1,tracking_app,low,robot,,,,,
39,2,points_system,normal,robot,,,,,
39,3,aging_pill,high,robot,,,,,
40,1,dna_dating,low,robot,dna_dating,low,robot,,
40,2,tracking_app,normal,robot,tracking_app,normal,robot,,
40,3,points_system,high,robot,points_system,high,robot,,
41,1,points_system,high,robot,points_system,high,robot,,
41,2,tracking_app,normal,robot,tracking_app,normal,robot,,
41,3,dna_dating,low,robot,dna_dating,low,robot,,
42,1,tracking_app,high,robot,tracking_app,high,robot,,
42,2,dna_dating,normal,robot,dna_dating,normal,robot,,
42,3,arm_chip,low,robot,arm_chip,low,robot,,
43,1,robot_judges,high,robot,robot_judges,high,robot,,
43,2,aging_pill,normal,robot,aging_pill,normal,robot,,
43,3,points_system,low,robot,points_system,low,robot,,
44,1,points_system,low,robot,points_system,low,robot,,
44,2,dna_dating,normal,robot,dna_dating,normal,robot,,
44,3,robot_judges,high,robot,robot_judges,high,robot,,
45,1,aging_pill,low,robot,aging_pill,low,robot,,
45,2,robot_judges,normal,robot,robot_judges,normal,robot,,
45,3,arm_chip,high,robot,arm_chip,high,robot,,
46,1,robot_judges,low,robot,robot_judges,low,robot,,
46,2,arm_chip,normal,robot,arm_chip,normal,robot,,
46,3,dna_dating,high,robot,dna_dating,high,robot,,
47,1,dna_dating,high,robot,dna_dating,high,robot,,
47,2,points_system,normal,robot,points_system,normal,robot,,
47,3,robot_judges,low,robot,robot_judges,low,robot,,
48,1,arm_chip,high,robot,arm_chip,high,robot,,
48,2,robot_judges,normal,robot,robot_judges,normal,robot,,
48,3,aging_pill,low,robot,aging_pill,low,robot,,
49,1,arm_chip,low,robot,arm_chip,low,robot,,
49,2,aging_pill,normal,robot,aging_pill,normal,robot,,
49,3,tracking_app,high,robot,tracking_app,high,robot,,
50,1,robot_judges,low,robot,robot_judges,low,robot,,
50,2,arm_chip,normal,robot,arm_chip,normal,robot,,
50,3,dna_dating,high,robot,dna_dating,high,robot,,
51,1,points_system,high,robot,,,,,
51,2,tracking_app,normal,robot,,,,,
51,3,dna_dating,low,robot,,,,,
52,1,tracking_app,high,robot,tracking_app,high,robot,,
52,2,dna_dating,normal,robot,dna_dating,normal,robot,,
52,3,arm_chip,low,robot,arm_chip,low,robot,,
53,1,dna_dating,low,robot,dna_dating,low,robot,,
53,2,tracking_app,normal,robot,tracking_app,normal,robot,,
53,3,points_system,high,robot,points_system,high,robot,,
54,1,aging_pill,high,robot,aging_pill,high,robot,,
54,2,arm_chip,normal,robot,arm_chip,normal,robot,,
54,3,tracking_app,low,robot,tracking_app,low,robot,,
55,1,tracking_app,low,robot,tracking_app,low,robot,,
55,2,points_system,normal,robot,points_system,normal,robot,,
55,3,aging_pill,high,robot,aging_pill,high,robot,,
56,1,arm_chip,high,robot,,,,,
56,2,robot_judges,normal,robot,,,,,
56,3,aging_pill,low,robot,,,,,
57,1,points_system,low,robot,,,,,
57,2,dna_dating,normal,robot,,,,,
57,3,robot_judges,high,robot,,,,,
58,1,aging_pill,low,robot,,,,,
58,2,robot_judges,normal,robot,,,,,
58,3,arm_chip,high,robot,,,,,
59,1,dna_dating,high,robot,,,,,
59,2,points_system,normal,robot,,,,,
59,3,robot_judges,low,robot,,,,,
60,1,robot_judges,high,robot,,,,,
60,2,aging_pill,normal,robot,,,,,
60,3,points_system,low,robot,,,,,
