Feature,Importance
swta_prod_roi_mean,0.08629146
swta_dmn_roi_energy,0.079808705
swta_dmn_roi_mean,0.06401561
swta_dmn_roi_fft_std,0.036581233
swta_prod_roi_fft_std,0.03056169
swta_prod_roi_energy,0.028861905
swta_comp_roi_fft_std,0.026625784
swta_dmn_roi_min,0.023263708
swta_prod_roi_max,0.021365168
swta_comp_roi_zcr,0.019905047
swta_dmn_roi_max,0.019418938
swta_comp_roi_mean,0.017734988
swta_prod_roi_min,0.015187654
swta_comp_roi_max,0.014813009
swta_comp_roi_intercept,0.013613086
swta_prod_roi_intercept,0.013013331
swta_comp_roi_min,0.012680125
swta_dmn_roi_zcr,0.012612023
swta_dmn_roi_autocorr,0.012179714
swta_prod_roi_zcr,0.010891403
swta_dmn_roi_peak_freq,0.010657019
swta_dmn_roi_std,0.01050363
swta_comp_roi_energy,0.010372168
swta_dmn_roi_mobility,0.0101874145
swta_prod_roi_range,0.009849041
swta_comp_roi_std,0.009837516
lag1_corr_swta_dmn_roi_vs_swta_prod_roi,0.009756526
swta_comp_roi_peak_freq,0.009725577
swta_comp_roi_diff2_mean,0.0096285
lag2_corr_swta_dmn_roi_vs_swta_prod_roi,0.009585075
lag1_corr_swta_comp_roi_vs_swta_dmn_roi,0.0095751
swta_comp_roi_fft_mean,0.009431089
swta_prod_roi_fft_mean,0.009378696
swta_dmn_roi_range,0.009294824
swta_prod_roi_std,0.009149369
swta_comp_roi_range,0.008970051
swta_prod_roi_entropy,0.008777488
swta_prod_roi_diff2_mean,0.0087740375
swta_comp_roi_mobility,0.008729553
corr_swta_comp_roi_vs_swta_dmn_roi,0.008721559
swta_dmn_roi_fft_mean,0.008695524
swta_comp_roi_autocorr,0.008589927
swta_dmn_roi_slope,0.008422691
lag2_corr_swta_comp_roi_vs_swta_prod_roi,0.008378715
swta_dmn_roi_complexity,0.008359316
swta_prod_roi_mobility,0.008285097
swta_dmn_roi_slope_changes,0.008255376
corr_swta_comp_roi_vs_swta_prod_roi,0.008230093
swta_prod_roi_complexity,0.008051739
lag3_corr_swta_comp_roi_vs_swta_dmn_roi,0.008027885
lag1_corr_swta_comp_roi_vs_swta_prod_roi,0.008009527
swta_comp_roi_slope,0.007951026
swta_prod_roi_skew,0.007628124
lag2_corr_swta_comp_roi_vs_swta_dmn_roi,0.007531655
lag3_corr_swta_dmn_roi_vs_swta_prod_roi,0.0075199245
swta_dmn_roi_intercept,0.007484868
swta_prod_roi_diff_mean,0.007411163
swta_prod_roi_slope,0.0073897075
swta_prod_roi_autocorr,0.0073623257
corr_swta_dmn_roi_vs_swta_prod_roi,0.007360866
swta_dmn_roi_kurtosis,0.007062048
lag3_corr_swta_comp_roi_vs_swta_prod_roi,0.0068095843
swta_comp_roi_skew,0.0067738583
swta_dmn_roi_diff2_mean,0.0066088624
swta_comp_roi_kurtosis,0.0063573928
swta_dmn_roi_entropy,0.006310091
swta_comp_roi_slope_changes,0.0063070324
swta_comp_roi_entropy,0.0061971974
swta_prod_roi_kurtosis,0.006005449
swta_comp_roi_diff_mean,0.0059719966
swta_prod_roi_peak_freq,0.0059617097
swta_comp_roi_complexity,0.0057292623
swta_dmn_roi_skew,0.0054269857
swta_dmn_roi_diff_mean,0.0051523587
swta_prod_roi_slope_changes,0.0040517943
swta_prod_roi_fft_power,0.0
swta_comp_roi_fft_power,0.0
swta_dmn_roi_fft_power,0.0
